Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
C|Z13.6|CARDIOLOGIA|2.0|
C|Z13.8|MF|0.0|
C|Z13.9|MF|0.0|
C|Z20.1|MF|0.0|
C|Z20.2|MG|0.0|
C|Z20.8|MG|0.0|
C|Z20.9|MF|0.0|
C|Z30.0|MF|0.0|
C|Z30.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z30.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z30.4|MF|0.0|
C|Z30.5|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z30.8|MF|0.0|
C|Z30.9|MF|0.0|
C|Z32.0|MF|0.0|
C|Z32.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z34.0|MF|0.0|
C|Z34.8|MF|0.0|
C|Z34.9|MF|0.0|
C|Z35.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.4|GINECOLOGIA Y OBSTETRICIA|2.0|
C|Z35.5|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.6|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z35.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z39.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z39.1|MF|0.0|
C|Z39.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|Z48.0|MG|0.0|
C|Z48.8|MF|0.0|
C|Z48.9|MF|0.0|
C|Z51.4|MG|0.0|
C|Z51.8|MG|0.0|
C|Z51.9|MG|0.0|
C|Z53.0|MG|0.0|
C|Z53.1|MG|0.0|
C|Z53.2|MG|0.0|
C|Z54.0|MF|0.0|
C|Z54.4|MEDICINA FISICA Y REHABILITACION|2.0|
C|Z54.7|MF|0.0|
C|Z54.8|MF|0.0|
C|Z54.9|MF|0.0|
C|Z71.0|MG|0.0|
C|Z71.1|MG|0.0|
C|Z71.2|MF|0.0|
C|Z71.3|MG|0.0|
C|Z71.7|MG|0.0|
C|Z71.8|MG|0.0|
C|Z71.9|MG|0.0|
C|Z75.2|MG|0.0|
C|Z75.3|MG|0.0|
C|Z75.8|MG|0.0|
C|Z75.9|MG|0.0|
